GRID NAME,date assess,AA  3 yr,AS  3 yR,GS  3 yr,total IAA  3 yr,O 3yr,BRY  3yr,BS 3yr,CR 3yr,C 3yr,CE 3yr,CH 3yr,CLA  3yr,DC 3yr,DA  3yr,DF  3yr,DS  3yr,Total Dictyota sp. 3yr,GC 3yr,GP 3yr,GR 3yr,HAL/HD 3yr,HH 3yr,HYD 3yr,HC 3yr,HM 3yr,LC  3yr,LM 3yr,P 3yr,SF 3yr,ROCK COUNT  (0 cm),SEDIMENT DEPTH MEAN m+s  cm
8068 2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8068 2828,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2838,10/11/19,1,12,0,13,14,,,,,,5,,,,,,0,,1,,,,,,,,3,,5,42,1.78
8068 2848,10/11/19,4,3,0,7,,,,,4,,,,,,,,0,,,,,,,,,,,,2,9,3.69
8068 2857,4/17/19,6,6,1,13,10,,,,,,,,,,,,0,,,,,,,,,,,,,29,2.77
8068 2867,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2877,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2886,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2896,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2906,9/22/20,9,51,2,62,1,,,,2,,1,,,2,,2,4,,,,3,,,,,,60,,,19,1.29
8068 2915,9/22/20,8,45,1,54,1,,,,,,,,,,,,0,,,,22,1,,,,,55,,,16,n/a
8068 2925,9/23/20,5,16,0,21,,,,,,,,,,,7,,8,,,,33,,,,,,39,,,14,2.00
8068 2935,1/22/22,29,4,1,34,,,,,,,,,,,,,0,,,,18,,,,,,49,,,18,2.24
8068 2944,2/12/22,26,10,0,36,,,,,,,,,,,,1,1,,,,33,,,,,,53,1,,11,3.64
8068 2954,6/10/19,12,4,0,16,2,,,,,,7,,,,,,1,,,,,,,,,,1,,1,39,2.33
8068 2964,12/18/16,59,10,9,78,72,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2973,12/17/16,26,6,21,53,54,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2983,9/30/20,17,43,4,64,,,,,1,,2,,,3,,2,6,2,,,5,,,,,,18,,3,4,2.50
8068 2993,9/30/20,9,56,0,65,,,,,,,4,,,,,1,2,,,,16,,,,,,21,,1,25,n/a
8068 3002,6/2/21,2,35,2,39,,,,,,,12,,5,1,,,1,,,,16,,,,,,45,,1,31,1.50
8068 3012,6/2/21,5,28,2,35,,,,,,,2,,7,1,,,6,,,,4,,,,,,31,,2,32,1.85
8068 3021,9/23/18,11,56,23,90,12,,,,33,,,,,,,,0,,,,,,,,,,52,,1,7,1.50
8068 3031,11/4/20,1,19,0,20,,,,,1,,10,,3,1,,4,5,,,,3,,,,,,19,,1,32,3.21
8068 3041,7/9/19,7,20,6,33,,,,,1,12,,,2,1,,,1,,,,6,,,,,,,2,4,51,3.00
8068 3060,4/19/21,4,10,1,15,,,,,,,1,,,,,,0,,,,21,,,,,,34,,1,37,2.20
8068 3070,4/19/21,11,10,0,21,,,,,,,2,,8,,,,0,,,,7,,,,,,16,,,56,1.50
8068 3079,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 3089,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 3099,4/3/21,0,9,8,17,3,,,,4,,1,,4,,,,0,,,,37,,1,,,,64,,1,13,2.50
8068 3108,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 3157,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 3215,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8077 2828,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2838,10/11/19,4,9,2,15,3,,,,3,2,,,,,,,0,,,,,,,,,,1,,3,22,2.26
8077 2848,8/12/19,5,6,3,14,,,,,14,,2,,,,,,0,,,,,,,,,,43,,9,23,1.67
8077 2857,4/17/19,3,4,0,7,10,,,,,,,,,,,,0,,,,,,,,,,,,,49,1.95
8077 2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8077 2857,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2867,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2877,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2886,7/12/16,22,19,5,46,27,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2896,9/9/21,18,24,14,56,,,,,,,,,,,5,,5,,,,14,6,,,,,63,1,1,10,1.80
8077 2906,5/21/19,8,10,10,28,,,,,4,,14,,,,,,0,,,,2,,,,,,,1,1,44,4.04
8077 2915,6/10/19,13,21,16,50,3,,,,25,,11,,,,,,3,,,,10,,,,,,,1,37,32,1.87
8077 2925,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
8077 2925,7/2/20,22,53,7,82,1,,,,20,,,,,2,,,2,2,,,2,,,,,,64,4,,35,n/a
8077 2935,7/6/20,14,36,14,64,5,,,,2,,,,,5,,6,11,11,,,4,,,,,,52,7,1,22,1.75
8077 2944,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2954,6/10/19,11,6,1,18,9,,,,,,6,,2,1,,,1,,,,3,,,,,,,2,,37,2.02
8077 2964,12/18/16,38,17,31,86,68,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2973,12/17/16,39,20,29,88,79,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2983,6/10/19,11,12,18,41,2,,,,,,14,,,,,,0,,,,,,,,,,,,5,39,1.60
8077 3002,6/6/20,5,49,1,55,,,,,,,3,,1,,,,0,,,,6,,,,,,30,,,39,1.25
8077 3012,6/6/20,2,38,2,42,,,,,,,7,,3,,,,0,,,,1,,,,,,29,,5,44,1.33
8077 3021,9/26/18,19,33,1,53,5,,,,18,,,,,,,,2,,,,1,,,,,,37,1,6,18,1.85
8077 3031,9/23/18,15,55,20,90,13,,2,,10,,,,,,,,0,,,,,,,,,,31,1,,15,1.50
8077 3041,9/23/18,11,34,13,58,6,,,,7,,,,1,,,,0,,,,,,,,,,27,1,,17,2.27
8077 3050,9/23/18,23,45,28,96,8,,,,22,,,,,,,,6,,,,1,,,,,,44,,,14,3.75
8077 3060,11/28/20,11,14,1,26,1,,,,5,,,,9,1,,,1,,,,2,,,,,,1,,,49,2.75
8077 3070,11/28/20,19,17,5,41,1,,,,3,,,,4,1,,,1,,,,,,,,,,,1,,45,1.50
8077 3079,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3089,4/3/21,3,27,3,33,,,,,4,,3,,,4,,,6,,,,,,,,,,50,,,32,2.31
8077 3099,7/28/21,2,58,0,60,,,,,,,12,,7,2,,,2,,,,41,,,,,,75,,1,17,n/a
8077 3108,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3147,10/10/18,28,13,4,45,12,,,,2,,,,,,,,1,,,,1,,,,,,,,,29,2.32
8077 3157,10/10/18,24,12,0,36,12,,,,4,,,,,,,,1,,,,5,,,,,,,,,35,1.62
8077 3215,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2761,3/2/19,1,0,0,1,,,,,,,,,,,,,0,,,,,,,,,,,,3,19,2.15
8086 2809,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2828,7/4/19,0,0,0,,1,,,,,,1,,,,,,0,,,,,,,,,,,,6,14,2.36
8086 2838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8086 2838,7/9/19,5,4,0,9,,,,,,,,,,,,,0,,,,,,,,,,4,,1,43,1.83
8086 2848,8/12/19,7,6,2,15,2,,,,,,4,,,,,,0,,,,,,,,,,13,1,9,24,1.96
8086 2857,4/17/18,14,20,2,36,,,,,,,,,,1,,,1,,,,,,,,,,,,,35,4.65
8086 2867,3/9/20,1,8,1,10,,,,,3,,,,,,,,0,,,,1,,,,,,21,,,45,1.37
8086 2877,3/9/20,3,2,0,5,,,,,4,,,,,,,,0,,,,,,,,,1,33,,11,62,2.60
8086 2886,7/12/16,33,56,32,121,80,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2896,7/13/16,20,39,43,102,71,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2896,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2906,5/21/19,22,27,36,85,,,,,7,,44,,,,,,0,,,,1,,,,,,,2,9,29,5.09
8086 2915,5/21/19,7,19,22,48,1,,,,17,,18,,,2,,,2,,1,,5,,,,,,,2,11,20,5.10
8086 2925,9/29/16,52,55,34,141,55,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2925,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2935,2/26/19,5,4,12,21,1,,,,30,,,,,,,,0,,,,,,,,,,25,,3,12,3.00
8086 2944,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2944,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2954,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2964,1/3/20,16,37,13,66,4,,,,10,,9,,,,,,0,,,,1,,,,,,27,,,28,2.04
8086 2973,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2973,12/17/16,28,17,21,66,63,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2983,6/10/19,7,9,32,48,,,,,,,10,,,,,,0,,,,,,,,,,,1,3,40,2.78
8086 2983,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2983,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
8086 2993,6/6/20,1,57,7,65,,,,,,,3,,3,,,,1,,,,2,,,,,,23,2,1,25,2.00
8086 3002,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3012,4/17/19,6,6,2,14,1,,,,,,,,,,,,0,,,,,,,,,,,,,64,1.63
8086 3021,4/30/19,24,28,45,97,3,,,,,,7,,,,,,2,,,,,,,,,,,1,2,21,3.91
8086 3031,2/23/22,8,24,5,37,,,,,,,6,,5,,,,1,,,,19,,,,,,19,,,26,2.40
8086 3041,9/23/18,6,44,33,83,11,,1,,7,,,,,,,,5,,,,,,,,,,67,,2,5,14.00
8086 3050,11/7/18,24,54,15,93,10,,,,35,,,,,,,,5,,,,,,,,,,1,,,6,4.00
8086 3060,11/7/18,28,65,18,111,8,,1,,21,,,,1,,,,3,,,,,,,,,,4,,,8,1.56
8086 3070,10/26/19,7,45,26,78,,,,,20,,5,,,1,,,1,,,,,,,,,,9,,3,25,1.73
8086 3079,11/11/19,10,39,12,61,,,1,,16,,21,,,,,,0,,,,,,,,,,10,,3,18,2.11
8086 3089,2/20/21,1,6,2,9,,,,,2,,,,,,,,0,,,,2,,,,,,13,,,56,1.95
8086 3099,2/20/21,1,0,6,7,,,,,3,,,,,,,,0,,,,18,,,,,,27,,,50,4.44
8086 3108,2/20/21,2,3,0,5,,,,,2,,,,,,,,0,,,,2,,,,,,15,,,63,2.00
8086 3118,2/28/19,1,0,0,1,2,,,,,,,,,,,,0,,,,,,,,,,,,,53,1.75
8086 3128,2/28/19,13,6,6,25,8,,,,5,,,,,,,,1,,,,1,,,,,,,,,40,4.00
8086 3137,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8086 3147,10/10/18,32,24,4,60,9,,,,1,,,,,,,,2,,,,1,,,,,,1,,2,15,2.09
8086 3157,10/10/18,21,25,30,76,15,,,,2,,,,,,,,3,,,,1,,,,,,3,,,24,1.40
8086 3215,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
