GRID NAME,date assess,AA  1 yr,AS  1 yr,GS  1 yr,Total IAA  1 yr,O 1yr,BRY  1yr,BS  1yr,CR 1yr,C 1yr,CE 1yr,CH 1yr,CLA  1yr,DC 1yr,DA  1yr,DF  1yr,DS  1yr,Total Dictyota 1yr,GC 1yr,GP 1yr,GR 1yr,HAL/HD  1yr,HH 1yr,HYD 1yr,HC 1yr,HM 1yr,LC 1yr,LM 1yr,P  1yr,SF 1yr,ROCK COUNT  (0 cm),SEDIMENT DEPTH MEAN m+s  cm
8050 3089,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3099,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3118,2/1/20,4,18,1,23,,,1,,7,,,,,,,,0,,,,53,,,,,,,,,15,2.61
8050 3166,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3215,4/11/20,2,0,0,2,,,,,,,,,,,,,0,,,,,,,,,,1,,1,3,3.07
8050 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2770,9/4/17,7,7,0,14,31,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2819,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2828,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2838,10/27/17,21,28,18,67,63,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2848,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2857,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2906,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2915,7/16/14,24,,,24,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2915,11/9/19,7,25,20,52,,,,,18,,2,,,9,,,9,,,,7,,,,,,3,,10,16,3.69
8059 2925,8/16/19,12,40,48,100,1,,,,47,,3,,,,,,4,,,,34,,,,,,27,,5,8,1.80
8059 2935,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2935,4/5/20,0,9,28,37,1,,,,19,,1,,,3,,,4,1,1,,,,,,,,60,9,1,21,1.33
8059 2935,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2944,4/5/20,5,5,11,21,,,,,24,,1,,,,,,1,1,,,26,,,,,,64,,,18,4.00
8059 2954,6/2/17,40,5,4,49,21,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2964,2/3/17,13,1,3,17,18,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2973,2/3/17,20,4,20,44,46,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2983,10/9/18,14,41,9,64,2,,,,25,,,,,,,,0,,,,14,,,,,,37,,,9,4.31
8059 2993,11/10/19,2,52,8,62,,,1,,4,,15,,,3,,,3,,,,9,,,,,,,1,2,35,1.00
8059 3002,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 3012,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 3021,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 3031,11/8/18,9,61,32,102,9,,1,,25,,,,2,,,,2,,,,4,,,,,,,,8,3,3.00
8059 3041,7/17/17,9,17,33,59,88,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 3050,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 3060,2/25/17,12,3,5,20,107,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 3070,2/27/17,16,4,0,20,128,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 3079,4/30/19,21,10,0,31,13,,1,,,,11,,1,,,3,3,,,,10,,,,,,,,,41,1.45
8059 3224,4/11/20,2,8,5,15,,,,,6,,18,,,1,,,1,,,,9,,,,,,,,1,7,2.34
8059 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2780,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8068 2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8068 2828,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2838,10/27/17,10,12,10,32,57,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2848,10/27/17,3,8,0,11,60,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2857,4/13/17,22,70,3,95,125,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2867,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2877,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2886,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2896,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2906,9/27/18,19,49,23,91,9,,,,48,,,,,,,,2,,,,1,,,,,,36,,8,17,1.00
8068 2915,9/27/18,18,46,26,90,10,,,,34,,,,,,,,6,,,,12,,,,,,33,,11,5,1.50
8068 2925,9/27/18,8,18,2,28,14,,1,,41,,,,,,,,3,,,,8,,,,,,9,,8,8,2.89
8068 2935,1/3/20,19,22,9,50,5,,,,57,,8,,,,,,1,,,,4,,,,,,54,,,16,2.22
8068 2944,1/3/20,12,25,16,53,1,,,,42,,20,,,,,,0,,,,8,,,,,,29,,,14,3.08
8068 2954,6/2/17,33,21,0,54,21,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2964,12/17/14,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2973,12/17/14,23,13,0,36,14,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2983,10/7/18,14,43,11,68,,,,,40,,,,,,,,0,,,,8,,,,,,66,,,13,1.89
8068 2993,10/8/18,4,67,7,78,1,,,,32,,,,2,,,,0,,,,,,,,,,72,,4,4,1.00
8068 3002,6/10/19,10,15,4,29,8,,1,,,,15,,14,,,,0,,,,7,,,,,,1,4,,36,1.80
8068 3012,6/10/19,9,6,1,16,,,,,1,,16,,4,,,,0,,,,3,,,,,,,2,,58,4.56
8068 3021,9/27/16,18,71,16,105,102,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 3031,11/8/18,4,34,27,65,9,,,,4,,,,2,,,,1,,,,,,,,,,2,,1,22,1.75
8068 3041,7/17/17,21,57,4,82,58,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 3060,4/30/19,2,2,2,6,,,,,1,,2,,,,,,0,,,,2,,,,,,,,,56,1.63
8068 3070,4/30/19,9,5,2,16,1,,,,,,4,,,,,,0,,1,,1,,,,,,,1,,64,1.14
8068 3079,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 3089,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 3099,4/30/19,3,9,1,13,,,1,,,,3,,,,,,0,,,,1,,,,,,,,,79,1.33
8068 3108,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 3157,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 3215,4/11/20,3,1,1,5,,,,,,,2,,,,,,0,1,,,2,,,,,,,,3,16,2.06
8068 3224,4/11/20,2,24,7,33,,,2,,9,,13,,,1,,,1,,,,8,,,,,,,,6,37,1.62
8068 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8077 2828,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2838,10/27/17,9,4,0,13,34,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2848,8/6/17,25,17,6,48,73,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2857,4/13/17,28,50,3,81,103,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8077 2857,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2867,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2877,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2886,7/16/14,6,,,6,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2896,8/12/19,5,2,11,18,,,,,6,,1,,,,,,0,,,,1,,,,,,12,,7,7,2.04
8077 2906,6/1/17,16,80,9,105,37,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2915,6/1/17,24,29,19,72,47,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2925,1/22/22,8,20,1,29,,,,,,,,,,,,,0,1,,,56,,,,,,73,,,15,2.29
8077 2925,7/10/18,5,4,12,21,,,,,1,,,,,,,,0,,,,,,,,,,,,10,21,2.36
8077 2935,7/27/18,3,18,25,46,,,,,8,,,,,,,,0,,,,,,,,,,,,43,7,1.56
8077 2944,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2954,6/2/17,30,40,7,77,28,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2964,12/17/14,45,37,5,87,38,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2973,12/17/14,50,38,7,95,49,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 2983,6/2/17,19,77,2,98,82,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3002,6/11/18,6,45,36,87,7,,,,1,,,,,,,,0,,,,1,,,,,,,2,5,27,1.18
8077 3012,5/29/18,21,33,8,62,33,,,,,,,,1,,,,0,,,,,,,,,,,4,1,25,1.50
8077 3021,9/29/16,31,74,38,143,96,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3031,9/27/16,12,69,24,105,81,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3041,9/27/16,15,70,14,99,65,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3050,9/27/16,26,64,28,118,45,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3060,12/10/18,5,46,19,70,6,,,,26,,,,1,,,,0,,,,,,,,,,48,,,16,1.50
8077 3070,12/10/18,4,46,8,58,9,,,,7,,,,,,,,0,,,,,,,,,,28,,1,30,1.25
8077 3079,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3089,4/30/19,1,7,6,14,,,2,,,,7,,,,,,0,,,,1,,,,,,3,1,,54,2.10
8077 3099,7/3/19,0,2,3,5,3,,,,,,8,,1,,,,0,,,,1,,,,,,,,,45,1.70
8077 3108,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3147,10/27/16,37,62,6,105,72,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3157,10/30/16,20,45,11,76,33,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3215,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8077 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2761,3/4/17,17,9,0,26,31,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2809,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2828,7/10/17,9,23,1,33,36,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8086 2838,7/10/17,12,2,0,14,24,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2848,8/6/17,48,41,7,96,75,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2857,4/13/17,22,70,3,95,125,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2867,3/6/18,35,41,27,103,43,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2877,3/6/18,19,13,20,52,35,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2886,7/18/14,32,,,32,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2896,7/18/14,17,,,17,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2896,9/22/20,3,39,9,51,,,,,1,,,,1,,,,1,1,,,,,,,,,40,,,14,1.80
8086 2906,6/1/17,6,81,17,104,55,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2915,6/1/17,39,71,49,159,68,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2925,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2925,7/18/21,4,21,2,27,,,,,4,,2,,,1,,,1,1,,,,,,,,,49,1,7,34,2.55
8086 2935,2/1/17,31,8,31,70,78,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2944,6/20/15,14,,,14,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2944,7/18/21,5,4,3,12,,,,,11,,,,,1,,,1,,,,1,,,,,,54,2,5,35,1.00
8086 2954,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2964,1/17/18,16,18,1,35,28,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2973,7/18/21,5,17,3,25,,,,,2,,2,,,1,,,1,,,,,,,,,,,1,7,33,1.53
8086 2973,12/16/14,9,4,4,17,7,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2983,6/2/17,31,74,14,119,71,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2983,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 2983,11/28/21,3,12,1,16,,,1,,,,4,,3,,,,0,2,,,1,,,,,,52,,1,39,2.00
8086 2993,6/2/18,14,45,15,74,15,,1,,2,,,,,,,,0,,,,,,,,,,,,1,25,2.18
8086 3002,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3012,4/21/17,22,71,4,97,85,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3021,4/21/17,22,57,23,102,121,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3031,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3041,9/27/16,16,64,18,98,58,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3050,11/26/16,41,32,31,104,75,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3060,11/26/16,43,35,53,131,119,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3070,11/15/17,20,56,22,98,68,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3079,11/15/17,33,61,17,111,63,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3089,2/5/19,11,7,4,22,7,,,,,,,,,,,,0,,,,,,,,,,,,,54,2.84
8086 3099,2/5/19,7,12,10,29,6,,,,,,,,1,,,,0,,,,,,,,,,,,,57,4.00
8086 3108,2/5/19,6,13,7,26,2,,,,,,,,,,,,0,,,,,,,,,,,,,55,1.58
8086 3118,3/4/17,18,25,13,56,50,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3128,3/9/17,20,26,3,49,74,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3137,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8086 3147,10/27/16,25,46,4,75,51,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3157,10/30/16,30,65,43,138,90,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3215,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8086 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8095 2761,3/9/17,15,11,0,26,30,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8095 2790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
