GRID NAME,HUKI + ADOPT CLEARANCE DATES,AA before huki,AS before huki,GS before huki,Total Other (O+) before huki,O before huki,BRY before huki,BS before huki,C before huki,CE  before huki,CH before huki,CLA before huki, DC before huki,DA before huki,DF before huki,DS before huki,Total Dictyota before huki,GC before huki, GP before huki, GR before huki,HAL/HD before huki,HH before huki,HYD before huki,HC before huki,HM before huki,LM before huki,P before huki,SF before huki,ROCK COUNT  (0 cm),SAND COUNT,SAND DEPTH MEAN cm,SEDIMENT DEPTH MEAN m+s  cm,date assess,AA  after huki,AS  after huki,GS  after huki,Total IAA  after huki,Other (O+) after huki,O 0yr,BRY 0yr,BS 0yr,CR 0yr,C 0yr,CE 0yr,CH 0yr,CLA 0yr,DC 0yr,DA  oyr,DF  0yr,DS  0yr,DICT sp?  0yr,total Dctyota 0yr,GC 0yr,GP 0yr,GR 0yr,HAL 0yr,HH 0yr,HYD 0yr,HC 0yr,HM 0yr,LC  0yr,LM 0yr,LN 0yr,P   0yr,SF 0yr,clumps,intersects,ROCK COUNT  (0 cm),SAND COUNT,MUD COUNT,SAND DEPTH MEAN cm,MUD DEPTH MEAN cm,count r+s+m,sum depth s+m cm,SEDIMENT DEPTH MEAN m+s  cm
8032 2703,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8032 2712,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8032 2722,9/9/18,6,1,0,8,1,,,,,,,,,,,0,,,,,,,,,,1,6,2,31,2.29,2.29,9/9/18,0,0,0,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,2,33,,5.79,,35,191.0,5.79
8032 2819,,7,3,0,4,,,,,,,,,,,,0,,,,,,,,,,,4,5,86,3.08,3.08,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8032 2838,8/6/16,29,20,3,23,23,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,8/6/16,6,1,0,7,5,5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8032 2848,6/13/18,10,15,1,4,4,,,,,,,,,,,0,,,,,,,,,,,,10,70,5.17,5.17,6/13/18,1,1,0,2,2,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,20,68,3,3.90,3.67,91,276.0,3.89
8032 2867,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8032 3060,9/22/18,6,57,10,54,18,,,36,,,,,,,,0,,,,,,,,,,,,3,3,1.33,1.33,9/22/18,7,39,2,48,81,1,,,,1,,,,,,,,,0,,,,60,,,,,,19,,,,,,3,18,,2.33,,21,42.0,2.33
8032 3070,9/22/18,16,22,1,41,15,,,15,,,,,,,,0,,,,11,,,,,,,,8,42,2.33,2.33,9/22/18,2,0,0,2,14,,,,,,,,,,,,,,0,,,,14,,,,,,,,,,,,12,52,,2.52,,64,131.0,2.52
8032 3079,,21,33,0,52,,,,,,,,7,,,,0,,2,,39,,,,,,,4,16,15,2.93,2.93,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8032 3089,,14,21,1,43,1,,,,,,,8,,,,0,,,,24,,,,,,,10,22,26,2.73,2.73,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8032 3099,,7,20,0,54,,,,,,,,6,,,,0,,,,31,,,,,,,17,42,11,3.91,3.91,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8032 3108,,18,52,3,88,,,,,,,,8,,,,0,,,,73,,,,,,,7,4,1,2.00,2.00,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8032 3118,,8,49,2,74,6,,,,,,,1,,,,0,,,,67,,,,,,,,6,7,1.86,1.86,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8032 3224,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8032 3234,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8041 2780,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8041 2790,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8041 2819,,12,9,0,3,,,,,,,,,,,,0,,,,,,,,,,,3,16,67,2.87,2.87,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8041 2838,,20,21,2,5,3,,,,,,,,,,,0,,,,,,,,,2,,,25,37,3.27,3.27,5/19/19,2,0,0,2,7,1,,,,1,,3,,,,,,,0,,,,,,,,,,,,,2,,,34,59,,4.51,,93,266.0,4.51
8041 3012,10/14/15,19,30,1,31,31,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/14/15,21,29,1,51,25,25,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8041 3021,10/14/15,77,86,10,48,48,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/14/15,35,44,2,81,25,25,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8041 3050,,22,33,8,37,20,,,5,,,,,,,,0,,,,12,,,,,,,,33,13,2.85,2.85,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8041 3060,9/22/18,0,16,3,32,10,,,22,,,,,,,,0,,,,,,,,,,,,19,15,2.13,2.13,9/22/18,10,27,3,40,72,5,,,,3,,,,2,,,,,0,,,,38,,,,,,24,,,,,,17,21,,1.76,,38,37.0,1.76
8041 3070,9/22/18,7,19,0,40,19,,,20,,,,1,,,,0,,,,,,,,,,,,23,27,2.19,2.19,9/22/18,10,24,1,35,40,0,,,,2,,,,,,,,,0,,,,24,,,,,,14,,,,,,25,26,,1.50,,51,39.0,1.50
8041 3099,,7,54,0,43,12,,,,,,,,,,,0,,,,30,,,,,,,1,12,14,1.43,1.43,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8041 3108,,8,53,1,84,10,,,,,,,,,,,0,,,,74,,,,,,,,3,3,1.67,1.67,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8041 3224,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8041 3234,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 2780,9/21/17,16,5,0,14,14,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,9/21/17,9,4,0,13,6,6,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 2790,9/21/17,18,9,2,21,21,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,9/21/17,10,13,2,25,11,11,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 2819,,5,5,0,4,,,,,,,,,,,,0,,,,,,,,,,,4,8,65,2.57,2.63,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 2828,,7,15,1,6,,,,,,,,4,,,,0,,,,,,,,,,,2,9,67,2.99,2.99,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 2915,11/3/17,20,20,9,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/3/17,25,33,17,75,96,71,,,,,,,,,,,,,0,,,,,25,,,,,,,,,,,,,,,,0,0.0,n/a
8050 2925,10/3/17,42,56,43,103,103,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/3/17,32,42,30,104,59,59,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 2944,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 2954,6/21/16,50,13,4,77,77,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,6/21/16,12,0,1,13,27,27,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 2964,2/6/16,36,1,2,36,36,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,2/6/16,4,1,0,5,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 2973,2/6/16,35,15,15,35,35,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,2/6/16,10,2,3,15,9,9,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 2983,4/20/19,12,12,13,45,,,,5,,18,,,,,,1,,,,16,,,,,,,5,37,17,1.47,1.47,4/20/19,9,11,11,31,67,1,,,,5,,26,,,,,,,0,,,,31,,,,,,,,,4,,,33,17,,1.35,,50,23.0,1.35
8050 2993,4/20/19,10,9,2,22,3,,,,,8,,,,,,0,,,,9,,,,,,,1,40,33,1.39,1.39,4/20/19,5,4,3,12,15,2,,,,,,6,,,,,,,0,,,,7,,,,,,,,,,,,76,9,,1.78,,85,16.0,1.78
8050 3012,10/14/15,15,43,4,34,34,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/14/15,26,35,0,61,18,18,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 3021,10/14/15,29,55,3,21,21,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/14/15,20,34,5,59,11,11,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 3031,11/4/17,24,30,8,81,81,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,11/4/17,20,20,1,41,34,34,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 3041,,13,10,27,50,50,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 3050,,11,3,7,36,36,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 3060,2/27/16,26,10,1,18,18,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,2/27/16,9,2,0,11,6,6,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 3070,2/27/16,10,8,0,26,26,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,2/27/16,14,8,2,24,36,36,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 3079,,24,17,6,50,2,,,6,,,,3,,,,0,,,,39,,,,,,,,23,20,2.28,2.28,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 3089,,36,19,1,45,7,,,8,,,,,,,,0,,,,29,,,,,,,,31,5,1.10,1.10,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 3099,,14,8,0,69,4,,,1,,,,1,,,,0,,,,59,,,,,3,,,22,7,2.50,2.50,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 3118,1/19/19,13,56,0,60,15,,,,,,,,,,,0,,,,45,,,,,,,,13,18,2.56,2.56,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 3166,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 3215,4/4/19,2,0,0,2,,,,,,2,,,,,,0,,,,,,,,,,,,1,97,3.96,3.96,4/4/19,2,0,0,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2,83,,4.95,,85,411.0,4.95
